Number,Type,Date_original,Date_number,Date,Name,Sex,Sex2,Country_killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local_Foreign,Source_fire,Type_death,Impunity_for_murder,Taken_captive,Threatened,Tortured,
122,Motive Confirmed,"October 15, 2014",2014,"September 16, 2014",Facely Camara,Male,Male,Guinea,Liberté FM,Guinea,Radio,Broadcast,Human Rights,No,Local,Mob Violence,Murder,Yes,No,No,"No
",
123,Motive Confirmed,"October  4, 2014",2014,"September 10, 2014",Mohammed al-Qasim,Male,Male,Syria,Rozana Radio,Syria,"Radio, Television, Internet",Broadcast,"Human Rights, Politics, War",No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
124,Motive Confirmed,"September 16, 2014",2014,,Steven Sotloff,Male,Male,Syria,Freelance,"American, Israeli","Print, Internet","Internet Reporter, Print Reporter","Human Rights, Politics, War",Yes,Foreign,Political Group,Murder,Yes,Yes,No,"Yes
",
125,Motive Confirmed,"September 10, 2014",2014,"August 28, 2014",Irshad Mastoi,Male,Male,Pakistan,"Online International News Network, ARY News",Pakistan,"Print, Television","Editor, Print Reporter","Human Rights, Politics, War",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
127,Motive Confirmed,"August 28, 2014",2014,,James Foley,Male,Male,Syria,Freelance,United States,Internet,"Photographer, Internet Reporter","Human Rights, War",Yes,Foreign,Political Group,Murder,Yes,Yes,No,"Yes
",
128,Motive Confirmed,"August 28, 2014",2014,"August 13, 2014",Simone Camilli,Male,Male,Israel and the Occupied Palestinian Territory,The Associated Press,Italy,"Television, Internet","Camera Operator, Photographer","Politics, War",No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
130,Motive Confirmed,"August 13, 2014",2014,"August  8, 2014",Leyla Yildizhan (Deniz Firat),Female,Female,Iraq,Firat News Agency,Turkey,"Television, Internet",Broadcast,"Human Rights, Politics, War",Yes,Foreign,"Military Officials, Political Group",Crossfire/Combat-Related,,No,No,"No
",
131,Motive Confirmed,"August 11, 2014",2014,"August  6, 2014",Andrei Stenin,Male,Male,Ukraine,Rossiya Segodnya,Russia,"Print, Internet",Photographer,"Human Rights, War",No,Foreign,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
132,Motive Confirmed,"August  8, 2014",2014,"July 30, 2014",Sameh al-Aryan,Male,Male,Israel and the Occupied Palestinian Territory,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Television,"Camera Operator, Photographer","Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
133,Motive Confirmed,"August  6, 2014",2014,"July 30, 2014",Rami Rayan,Male,Male,Israel and the Occupied Palestinian Territory,Palestine Network for Press and Media,Israel and the Occupied Palestinian Territory,"Print, Television, Internet",Photographer,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
134,Motive Confirmed,"July 30, 2014",2014,"July 20, 2014",Khaled Reyadh Hamad,Male,Male,Israel and the Occupied Palestinian Territory,Continue Production Films,Israel and the Occupied Palestinian Territory,Television,"Camera Operator, Photographer","Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
135,Motive Confirmed,"July 30, 2014",2014,"June 30, 2014",Anatoly Klyan,Male,Male,Ukraine,Pervy Kanal,Russia,Television,Camera Operator,"Politics, War",No,Foreign,Unknown Fire,Dangerous Assignment,,No,No,"No
",
136,Motive Confirmed,"July 20, 2014",2014,"June 27, 2014",Mohamed Taani,Male,Male,Syria,SMART News Agency,Syria,Internet,Camera Operator,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
137,Motive Confirmed,"June 30, 2014",2014,"June 21, 2014",Yusuf Ahmed Abukar,Male,Male,Somalia,"Radio Ergo, Mustaqbal Radio",Somalia,Radio,"Broadcast, Editor","Human Rights, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
138,Motive Confirmed,"June 27, 2014",2014,"June 20, 2014",Ahmed Hasan Ahmed,Male,Male,Syria,Xinhua News Agency,Egypt,Internet,"Camera Operator, Photographer","Human Rights, Politics, War",No,Foreign,Unknown Fire,Dangerous Assignment,,No,No,"No
",
139,Motive Confirmed,"June 21, 2014",2014,"June 19, 2014",Edgar Pantaleón Fernández Fleitas,Male,Male,Paraguay,Belén Comunicaciones,Paraguayan,Radio,"Broadcast, Columnist","Corruption, Crime, Politics",No,Local,"Criminal Group, Political Group",Murder,Yes,No,No,"No
",
140,Motive Confirmed,"June 20, 2014",2014,"June 17, 2014",Igor Kornelyuk,Male,Male,Ukraine,VGTRK,Russia,Television,Broadcast,War,No,Foreign,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
141,Motive Confirmed,"June 19, 2014",2014,"June 15, 2014",Khalid Ali Hamada,Male,Male,Iraq,Al-Ahad TV,Iraq,Television,Camera Operator,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
",
142,Motive Confirmed,"June 17, 2014",2014,"May 27, 2014",Tarun Kumar Acharya,Male,Male,India,"Kanak TV, Sambad",India,"Print, Television","Broadcast, Print Reporter","Corruption, Crime, Human Rights",No,Local,Local Residents,Murder,Yes,No,Yes,"No
",
143,Motive Confirmed,"June 15, 2014",2014,"May 26, 2014",Muftah Bu Zeid,Male,Male,Libya,Brnieq,Libya,"Print, Internet",Editor,"Politics, War",No,Local,Unknown Fire,Murder,Yes,,,"
",
144,Motive Confirmed,"May 27, 2014",2014,"May 24, 2014",Andrea Rocchelli,Male,Male,Ukraine,Cesura photo agency,Italy,"Print, Internet",Photographer,"Human Rights, War",No,Foreign,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
145,Motive Confirmed,"May 26, 2014",2014,"May 21, 2014",Sadrul Alam Nipul,Male,Male,Bangladesh,Dainik Mathabhanga,Bangladesh,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Yes,No,No,"No
",
146,Motive Confirmed,"May 24, 2014",2014,,Camille Lepage,Female,Female,Central African Republic,Freelance,France,"Print, Internet",Photographer,"Human Rights, War",Yes,Foreign,Paramilitary Group,Dangerous Assignment,,No,No,"No
",
147,Motive Confirmed,"May 21, 2014",2014,"May 16, 2014",Fausto Gabriel Alcaraz Garay,Male,Male,Paraguay,Radio Amambay,Paraguay,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,No,"No
",
149,Motive Confirmed,"May 16, 2014",2014,"April 25, 2014",Mouaz Alomar (Abu Mehdi Al Hamwi),Male,Male,Syria,Freelance,Syria,"Television, Internet","Broadcast, Photographer, Internet Reporter","Human Rights, Politics, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
150,Motive Confirmed,"May  4, 2014",2014,"April  6, 2014",Rubylita Garcia,Female,Female,Philippines,"Remate, dwAD",Philippines,"Print, Radio","Broadcast, Print Reporter","Corruption, Crime",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
151,Motive Confirmed,"April 25, 2014",2014,,Bilal Ahmed Bilal,Male,Male,Syria,Palestine Today TV,Syria,Television,"Broadcast, Producer","Human Rights, Politics, War",No,Local,Government Officials,Dangerous Assignment,,No,No,"Yes
",
152,Motive Confirmed,"April  6, 2014",2014,"April  4, 2014",Anja Niedringhaus,Female,Female,Afghanistan,The Associated Press,Germany,"Print, Internet",Photographer,"Human Rights, War",No,Foreign,Government Officials,Dangerous Assignment,,No,No,"No
",
154,Motive Confirmed,"April  4, 2014",2014,"March 11, 2014",Nils Horner,Male,Male,Afghanistan,Sveriges Radio,Sweden,Radio,Broadcast,"Politics, War",No,Foreign,Unknown Fire,Dangerous Assignment,,No,No,"No
",
155,Motive Confirmed,"March 28, 2014",2014,"March 10, 2014",Muthanna Abdel Hussein,Male,Male,Iraq,Al-Iraqiya,Iraq,Television,Camera Operator,Politics,No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
156,Motive Confirmed,"March 11, 2014",2014,"March 10, 2014",Khaled Abdel Thamer,Male,Male,Iraq,Al-Iraqiya,Iraq,Television,Camera Operator,Politics,No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
157,Motive Confirmed,"March 10, 2014",2014,"March  9, 2014",Ali Mustafa,Male,Male,Syria,Freelance,Canada,"Print, Internet",Photographer,"Human Rights, Politics, War",Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
158,Motive Confirmed,"March 10, 2014",2014,"March  8, 2014",Omar Abdul Qader,Male,Male,Syria,Al-Mayadeen,Syria,Television,Camera Operator,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
",
159,Motive Confirmed,"March  9, 2014",2014,,Gregorio Jiménez de la Cruz,Male,Male,Mexico,Notisur and Liberal del Sur,Mexico,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Yes,Yes,Yes,"Yes
",
160,Motive Confirmed,"March  8, 2014",2014,"February 20, 2014",Turad Mohamed al-Zahouri,Male,Male,Syria,Freelance,Syria,Internet,"Camera Operator, Photographer, Publisher","Human Rights, Politics, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
162,Motive Confirmed,"February 20, 2014",2014,"February 16, 2014",Germain Kennedy Mumbere Muliwavyo,Male,Male,Democratic Republic of the Congo,Radio Télévision Muungano ,Democratic Republic of the Congo,"Radio, Television",Broadcast,"Politics, War",No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
",
163,Motive Confirmed,"February 19, 2014",2014,"February 13, 2014",Pedro Palma,Male,Male,Brazil,Panorama Regional,Brazil,Print,Publisher,"Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No
",
164,Motive Confirmed,"February 16, 2014",2014,"February 10, 2014",Santiago Ilídio Andrade,Male,Male,Brazil,Bandeirantes,Brazil,Television,Camera Operator,Politics,No,Local,Local Residents,Dangerous Assignment,,No,No,"No
",
165,Motive Confirmed,"February 13, 2014",2014,"January 20, 2014",Firas Mohammed Attiyah,Male,Male,Iraq,Fallujah TV,Iraq,Television,Broadcast,"Politics, War",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
166,Motive Confirmed,"February 10, 2014",2014,"January 13, 2014",Michael Tshele,Male,Male,South Africa,Freelance,South Africa,"Print, Internet",Photographer,"Corruption, Human Rights",Yes,Local,Government Officials,Murder,Yes,No,No,"No
",
167,Motive Confirmed,"January 20, 2014",2014,"January  1, 2014",Shan Dahar,Male,Male,Pakistan,Abb Takk Television,Pakistan,Television,Broadcast,"Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,No,No,"No
",
168,Motive Confirmed,"January 13, 2014",2014,"December 23, 2013",Jamal Abdul-Nasser Sami,Male,Male,Iraq,Salaheddin TV ,Iraqi,Television,Editor,"Culture, Politics",No,Local,Political Group,Murder,Yes,Yes,,"
",
169,Motive Confirmed,"January  1, 2014",2014,"December 23, 2013",Raad Yassin Al-Baddi,Male,Male,Iraq,Salaheddin TV ,Iraqi,Television,Editor,"Culture, Politics",No,Local,Political Group,Murder,Yes,Yes,No,"No
",
170,Motive Confirmed,"December 23, 2013",2013,"December 23, 2013",Wassan Al-Azzawi,Female,Female,Iraq,Salaheddin TV,Iraqi,Television,Broadcast,"Culture, Politics",No,Local,Political Group,Murder,Yes,Yes,,"
",
171,Motive Confirmed,"December 23, 2013",2013,"December 20, 2013",Molhem Barakat,Male,Male,Syria,Freelance,Syrian,"Print, Internet",Photographer,"Human Rights, Politics, War",Yes,Local,"Military Officials, Political Group",Crossfire/Combat-Related,,,,"
",
172,Motive Confirmed,"December 23, 2013",2013,"December 15, 2013",Nawras al-Nuaimi,Female,Female,Iraq,Al-Mosuliya TV,Iraq,Television,Broadcast,"Corruption, Culture, Politics, War",No,Local,Unknown Fire,Murder,Yes,No,No,"No
",
173,Motive Confirmed,"December 20, 2013",2013,"December  6, 2013",Sai Reddy,Male,Male,India,Deshbandhu,India,Print,Print Reporter,"Corruption, Culture, Politics",No,Local,Political Group,Murder,Yes,No,Yes,"No
",
174,Motive Confirmed,"December 15, 2013",2013,"December  5, 2013",Kawa Garmyane,Male,Male,Iraq,"Rayel, Awene",Iraq,"Print, Internet","Editor, Print Reporter","Corruption, Crime, Politics",No,Local,Unknown Fire,Murder,Partial,No,Yes,"No
",
175,Motive Confirmed,"December  6, 2013",2013,"December  4, 2013",Yasser Faisal al-Jumaili,Male,Male,Syria,Freelance,Iraqi,Television,Camera Operator,"Politics, War",Yes,Foreign,Political Group,Murder,Yes,Yes,No,"
",
176,Motive Confirmed,"December  5, 2013",2013,"November 29, 2013",Joas Dignos,Male,Male,Philippines,DXGT Radio,Philippines,Radio,"Broadcast, Columnist","Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
177,Motive Confirmed,"December  4, 2013",2013,"November 27, 2013",Wadih Sa'ad al-Hamdani,Male,Male,Iraq,Baghdad TV,Iraq,Television,Broadcast,"Corruption, Crime, Culture, Politics, War",No,Local,Local Residents,Dangerous Assignment,,No,No,"No
",
178,Motive Confirmed,"November 29, 2013",2013,"November 24, 2013",Mohamed Yamen Naddaf,Male,Male,Syria,Shahba Press,Syrian,Internet,Camera Operator,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
179,Motive Confirmed,"November 27, 2013",2013,"November 24, 2013",Alaa Edward Butros,Male,Male,Iraq,Freelance,Iraq,Television,"Camera Operator, Photographer","Crime, Human Rights, Politics, War",Yes,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
180,Motive Confirmed,"November 24, 2013",2013,"November 19, 2013",Mohamed Ahmed Taysir Bellou,Male,Male,Syria,Shahba Press,Syrian,Internet,Camera Operator,"Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
181,Motive Confirmed,"November 24, 2013",2013,"November 18, 2013",Saleh Ayyad Hafyana,Male,Male,Libya,Fassato News Agency,Libya,Internet,Photographer,"Culture, Politics",No,Local,Paramilitary Group,Dangerous Assignment,,No,No,"No
",
182,Motive Confirmed,"November 19, 2013",2013,"November  2, 2013",Claude Verlon,Male,Male,Mali,Radio France Internationale,France,Radio,Technician,"Human Rights, Politics, War",No,Foreign,Political Group,Murder,Yes,Yes,No,"No
",
183,Motive Confirmed,"November 18, 2013",2013,"November  2, 2013",Ghislaine Dupont,Female,Female,Mali,Radio France Internationale,France,Radio,Broadcast,"Human Rights, Politics, War",No,Foreign,Political Group,Murder,Yes,Yes,No,"No
",
184,Motive Confirmed,"November  2, 2013",2013,"October 29, 2013",Mohammad Saeed,Male,Male,Syria,Al-Arabiya,Syria,Television,Broadcast,"Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,"No
",
185,Motive Confirmed,"November  2, 2013",2013,"October 26, 2013",Mohamed Mohamud,Male,Male,Somalia,Universal TV,Somali,Television,Broadcast,"Politics, War",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
186,Motive Confirmed,"October 29, 2013",2013,"October 24, 2013",Bashar al-Nuaimi,Male,Male,Iraq,Al-Mosuliya TV,Iraq,Television,"Camera Operator, Photographer","Corruption, Culture, Politics, War",No,Local,Unknown Fire,Murder,Yes,No,No,"No
",
187,Motive Confirmed,"October 26, 2013",2013,"October 11, 2013",Ayub Khattak,Male,Male,Pakistan,Karak Times,Pakistan,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Partial,No,Yes,"No
",
188,Motive Confirmed,"October 24, 2013",2013,"October  5, 2013",Mohammed Ghanem,Male,Male,Iraq,Al-Sharqiyah,Iraq,Television,Camera Operator,Culture,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
189,Motive Confirmed,"October 11, 2013",2013,"October  5, 2013",Mohammed Karim al-Badrani,Male,Male,Iraq,Al-Sharqiyah,Iraq,Television,Broadcast,Culture,No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
190,Motive Confirmed,"October  5, 2013",2013,"September 29, 2013",Nour al-Din Al-Hafiri,Male,Male,Syria,Freelance,Syria,"Television, Internet","Camera Operator, Producer, Technician",War,Yes,Local,Government Officials,Crossfire/Combat-Related,,,,"
",
191,Motive Confirmed,"October  5, 2013",2013,"September 11, 2013",Édison Alberto Molina,Male,Male,Colombia,Puerto Berrío Stereo,Colombia,Radio,"Broadcast, Columnist","Corruption, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
192,Motive Confirmed,"September 29, 2013",2013,"September  7, 2013",Rajesh Verma,Male,Male,India,IBN 7,India,Television,"Broadcast, Camera Operator","Crime, Politics",No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
",
193,Motive Confirmed,"September 11, 2013",2013,"September  5, 2013",Abdel Aziz Mahmoud Hasoun,Male,Male,Syria,Masar Press,Syrian ,Internet,Internet Reporter,"Human Rights, Politics, War",No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
194,Motive Confirmed,"September  7, 2013",2013,"August 29, 2013",Fernando Solijon,Male,Male,Philippines,DxLS Love Radio,Philippines,Radio,Broadcast,"Corruption, Politics",No,Local,Government Officials,Murder,Partial,No,Yes,"No
",
195,Motive Confirmed,"September  5, 2013",2013,"August 23, 2013",Rakesh Sharma,Male,Male,India,Aaj,India,Print,Print Reporter,"Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,No,No,"No
",
196,Motive Confirmed,"August 29, 2013",2013,"August 20, 2013",Narendra Dabholkar,Male,Male,India,Sadhana,India,Print,Editor,"Culture, Politics",No,Local,Unknown Fire,Murder,Yes,No,Yes,"No
",
197,Motive Confirmed,"August 23, 2013",2013,"August 20, 2013",Muhammad Hassan Al-Musalama,Male,Male,Syria,Revolutionaries of Daraa Al-Muhata – Tariq Al-Sadd,Syria,Internet,"Camera Operator, Editor, Internet Reporter","Human Rights, War",Yes,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
198,Motive Confirmed,"August 20, 2013",2013,"August 19, 2013",Tamer Abdel Raouf,Male,Male,Egypt,Al-Ahram,Syria,Print,Print Reporter,"Business, Corruption, Crime, Human Rights, Politics",No,Local,Government Officials,Dangerous Assignment,,No,No,"No
",
199,Motive Confirmed,"August 20, 2013",2013,"August 16, 2013",Shahir al-Muaddamani,Male,Male,Syria,Local Council of Deraya City Media Office,Syrai,Internet,"Photographer, Internet Reporter",War,Yes,Local,Government Officials,Crossfire/Combat-Related,,No,No,"No
",
200,Motive Confirmed,"August 19, 2013",2013,"August 14, 2013",Mosaab al-Shami,Male,Male,Egypt,Rassd News Network,Egypt,Internet,Photographer,"Human Rights, Politics",No,Local,Government Officials,Dangerous Assignment,,No,No,"No
",
201,Motive Confirmed,"August 16, 2013",2013,"August 14, 2013",Ahmed Abdel Gawad,Male,Male,Egypt,"Al-Akhbar, Misr25",Egypt,"Print, Television","Editor, Print Reporter","Human Rights, Politics",No,Local,Unknown Fire,Dangerous Assignment,,No,No,"No
",
202,Motive Confirmed,"August 14, 2013",2013,"August 14, 2013",Mick Deane,Male,Male,Egypt,Sky News,United Kingdom,Television,Camera Operator,"Human Rights, Politics, War",No,Foreign,"Military Officials, Political Group",Dangerous Assignment,,,,"
",
203,Motive Confirmed,"August 14, 2013",2013,"August 14, 2013",Habiba Ahmed Abd Elaziz,Female,Female,Egypt,Al-Jazeera ,Egypt,Television,Broadcast,"Human Rights, Politics, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
204,Motive Confirmed,"August 14, 2013",2013,"August  1, 2013",Mario Sy,Male,Male,Philippines,Freelance,Philippines,Print,Photographer,Crime,Yes,Local,Criminal Group,Murder,Yes,No,No,"No
",
205,Motive Confirmed,"August 14, 2013",2013,"July 27, 2013",Muhammed Tariq Jadua,Male,Male,Syria,Jisr Al-Shaghur Multimedia Network,Syria,"Television, Internet","Broadcast, Camera Operator, Photographer","Human Rights, War",Yes,Local,Government Officials,Crossfire/Combat-Related,,No,No,"No
",
206,Motive Confirmed,"August  1, 2013",2013,"July  9, 2013",Akhmednabi Akhmednabiyev,Male,Male,Russia,Novoye Delo,Russia,Internet,"Editor, Internet Reporter","Corruption, Human Rights, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,"No
",
207,Motive Confirmed,"July 27, 2013",2013,"July  8, 2013",Ahmed Assem el-Senousy,Male,Male,Egypt,Freedom and Justice,Egypt,"Print, Internet",Photographer,"Human Rights, Politics",No,Local,Military Officials,Dangerous Assignment,,No,No,"No
",
208,Motive Confirmed,"July  9, 2013",2013,"July  7, 2013",Liban Abdullahi Farah,Male,Male,Somalia,Kalsan TV,Somalia,Television,Broadcast,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No
",
209,Motive Confirmed,"July  8, 2013",2013,"July  5, 2013",Fidaa al-Baali,Male,Male,Syria,Orient News,Syria,Television,"Broadcast, Camera Operator","Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
210,Motive Confirmed,"July  7, 2013",2013,"June 29, 2013",Salah al-Din Hassan,Male,Male,Egypt,Shaab Masr,Egyptian,Internet,Internet Reporter,"Human Rights, Politics",No,Local,Political Group,Dangerous Assignment,,,,"
",
211,Motive Confirmed,"July  5, 2013",2013,"June 11, 2013",José Roberto Ornelas de Lemos,Male,Male,Brazil,Jornal Hora H,Brazil,Print,Publisher,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",
212,Motive Confirmed,"June 29, 2013",2013,"May 27, 2013",Yara Abbas,Female,Female,Syria,Al-Ikhbariya,Syria,Television,Broadcast,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,"No
",
213,Motive Confirmed,"June 11, 2013",2013,"April 24, 2013",Youssef Younis,Male,Male,Syria,Freelance,Syrian,Internet,"Broadcast, Camera Operator","Human Rights, Politics, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,,,"
",
214,Motive Confirmed,"May 27, 2013",2013,"April 21, 2013",Mohamed Ibrahim Raage,Male,Male,Somalia,"Radio Mogadishu, Somali National Television",Somalia,"Radio, Television","Broadcast, Producer",Politics,No,Local,Unknown Fire,Murder,Yes,No,No,"No
",
215,Motive Confirmed,"April 24, 2013",2013,"April 16, 2013",Aslam Durrani,Male,Male,Pakistan,Daily Pakistan,Pakistan,Print,Editor,Politics,No,Local,Political Group,Dangerous Assignment,,,,"
",
216,Motive Confirmed,"April 21, 2013",2013,"April 14, 2013",Walgney Assis Carvalho,Male,Male,Brazil,Freelance,Brazil,Print,Photographer,Crime,Yes,Local,Government Officials,Murder,Partial,No,No,"No
",
217,Motive Confirmed,"April 16, 2013",2013,"April  8, 2013",Mikhail Beketov,Male,Male,Russia,Khimkinskaya Pravda,Russia,Print,"Editor, Print Reporter",Politics,No,Local,Government Officials,Murder,Yes,No,Yes,"No
",
218,Motive Confirmed,"April 14, 2013",2013,,Abdul Raheem Kour Hassan,Male,Male,Syria,Watan FM,Syria,"Radio, Internet","Broadcast, Photographer, Publisher","Human Rights, Politics, War",No,Local,Government Officials,Dangerous Assignment,,Yes,No,"Yes
",
219,Motive Confirmed,"April  8, 2013",2013,"March 29, 2013",Amer Diab,Male,Male,Syria,Freelance,Syria,Internet,"Broadcast, Camera Operator","Human Rights, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
221,Motive Confirmed,"March 29, 2013",2013,"March 10, 2013",Ghaith Abd al-Jawad,Male,Male,Syria,Qaboun Media Center,Syria,Internet,"Camera Operator, Photographer","Human Rights, Politics, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
222,Motive Confirmed,"March 14, 2013",2013,"March 10, 2013",Amr Badir al-Deen Junaid,Male,Male,Syria,Qaboun Media Center,Syria,Internet,"Camera Operator, Photographer","Human Rights, Politics, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
223,Motive Confirmed,"March 10, 2013",2013,"March  8, 2013",Rodrigo Neto,Male,Male,Brazil,Rádio Vanguarda and Vale do Aço,Brazil,"Print, Radio","Broadcast, Print Reporter",Crime,No,Local,Government Officials,Murder,Partial,No,Yes,"No
",
224,Motive Confirmed,"March 10, 2013",2013,"March  3, 2013",Walid Jamil Amira,Male,Male,Syria,Jobar Media Center,Syria,Internet,"Camera Operator, Photographer","Human Rights, Politics, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
225,Motive Confirmed,"March  8, 2013",2013,"February 24, 2013",Olivier Voisin,Male,Male,Syria,Freelance,France,"Print, Internet",Photographer,"Human Rights, Politics, War",Yes,Foreign,Unknown Fire,Crossfire/Combat-Related,,,,"
",
226,Motive Confirmed,"March  3, 2013",2013,"February 22, 2013",Mafaldo Bezerra Goes,Male,Male,Brazil,FM Rio Jaguaribe,Brazil,Radio,Broadcast,Crime,No,Local,Criminal Group,Murder,Yes,No,Yes,"No
",
227,Motive Confirmed,"February 24, 2013",2013,"February 17, 2013",Mohamed Saeed al-Hamwi,Male,Male,Syria,Qaboun Media Center,Syria,Internet,"Broadcast, Camera Operator","Human Rights, War",Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
228,Motive Confirmed,"February 22, 2013",2013,"February 15, 2013",Youssef Adel Bakri (Youssef Abu Jad),Male,Male,Syria,Halab News Network ,Syria,Internet,"Broadcast, Camera Operator","Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,"No
",
229,Motive Confirmed,"February 17, 2013",2013,"February 15, 2013",Ahmed Rajib Haider,Male,Male,Bangladesh,Freelance,Bangladesh,Internet,Internet Reporter,"Corruption, Human Rights, Politics",Yes,Local,Political Group,Murder,No,No,Yes,"No
",
230,Motive Confirmed,"February 15, 2013",2013,"January 31, 2013",Loay al-Nimir,Male,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, War",Yes,Local,Unknown Fire,Crossfire/Combat-Related,,,,"
",
231,Motive Confirmed,"February 15, 2013",2013,"January 31, 2013",Issam Obeid,Male,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, War",Yes,Local,Unknown Fire,Crossfire/Combat-Related,,,,"
",
232,Motive Confirmed,"January 31, 2013",2013,"January 31, 2013",Abdel Karim Nazir Ismail,Male,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, War",Yes,Local,Unknown Fire,Crossfire/Combat-Related,,,,"
",
233,Motive Confirmed,"January 31, 2013",2013,"January 18, 2013",Mohamed al-Mesalma,Male,Male,Syria,Al-Jazeera,Syria,Television,Broadcast,War,No,Local,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
234,Motive Confirmed,"January 31, 2013",2013,"January 18, 2013",Abdihared Osman Aden,Male,Male,Somalia,Shabelle Media Network,Somalia,"Radio, Television",Producer,"Culture, Politics",Yes,Local,Unknown Fire,Murder,Yes,No,No,"No
",
235,Motive Confirmed,"January 18, 2013",2013,"January 17, 2013",Yves Debay,Male,Male,Syria,Assault,France,Internet,Internet Reporter,War,No,Foreign,Unknown Fire,Crossfire/Combat-Related,,No,No,"No
",
236,Motive Confirmed,"January 18, 2013",2013,"January 13, 2013",Bassem Fawaz al-Zabi,Male,Male,Syria,Freelance,Syria,Internet,Camera Operator,"Human Rights, Politics",Yes,Local,Unknown Fire,Crossfire/Combat-Related,,,,"
",
237,Motive Confirmed,"January 17, 2013",2013,"January 10, 2013",Mirza Iqbal Hussain,Male,Male,Pakistan,News Network International,Pakistan,Internet,Photographer,"Crime, Human Rights, Politics",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
238,Motive Confirmed,"January 13, 2013",2013,"January 10, 2013",Saif ur Rehman,Male,Male,Pakistan,Samaa TV,Pakistan,Television,Broadcast,"Crime, Human Rights, Politics",No,Local,Political Group,Dangerous Assignment,,No,No,"No
",
